N	Analytical y	RK4 y		Analytical z	RK4 z
0	1.000000	1.000000	1.000000	1.000000	
1	3.240000	3.340724	1.800000	1.796062	
2	6.759999	6.845132	2.600000	2.605021	
3	11.559999	11.636578	3.400000	3.407455	
4	17.639997	17.715277	4.200000	4.207940	
5	25.000000	25.077135	5.000000	5.007868	


N	Analytical y	RK4 y		Analytical z	RK4 z
0	1.000000	1.000000	1.000000	1.000000	
1	1.960000	1.964138	1.400000	1.399379	
2	3.240000	3.243960	1.800000	1.799760	
3	4.840000	4.843485	2.200000	2.199998	
4	6.760001	6.763137	2.600000	2.600124	
5	9.000002	9.002920	3.000000	3.000190	
6	11.560002	11.562795	3.400000	3.400225	
7	14.440003	14.442731	3.800000	3.800243	
8	17.640003	17.642708	4.200000	4.200252	
9	21.160004	21.162714	4.600000	4.600255	
10	25.000006	25.002739	5.000000	5.000255	


N	Analytical y	RK4 y		Analytical z	RK4 z
0	1.000000	1.000000	1.000000	1.000000	
1	1.440000	1.440160	1.200000	1.199964	
2	1.960000	1.960199	1.400000	1.399967	
3	2.560000	2.560201	1.600000	1.599976	
4	3.240001	3.240191	1.800000	1.799985	
5	4.000001	4.000180	2.000000	1.999992	
6	4.840001	4.840169	2.200000	2.199997	
7	5.760002	5.760159	2.400000	2.400001	
8	6.760002	6.760152	2.600000	2.600003	
9	7.840003	7.840146	2.800000	2.800005	
10	9.000003	9.000141	3.000000	3.000007	
11	10.240004	10.240137	3.200001	3.200008	
12	11.560004	11.560134	3.400001	3.400009	
13	12.960005	12.960132	3.600001	3.600009	
14	14.440005	14.440130	3.800001	3.800010	
15	16.000004	16.000130	4.000000	4.000010	
16	17.640003	17.640129	4.200000	4.200011	
17	19.360001	19.360128	4.400000	4.400011	
18	21.160000	21.160128	4.600000	4.600011	
19	23.039997	23.040129	4.800000	4.800012	
20	24.999996	25.000130	5.000000	5.000011	


