N	Analytical y	RK4 y		Analytical u	RK4 u
0	4.000000	4.000000	-3.141593	-3.141593	
1	2.879401	2.880906	-0.428855	-0.430897	
2	3.215600	3.211777	1.145218	1.140797	
3	3.772232	3.760027	0.174412	0.173410	
4	2.967180	2.951778	-2.970458	-2.961310	
5	-0.000001	-0.006924	-6.283185	-6.263285	


N	Analytical y	RK4 y		Analytical u	RK4 u
0	4.000000	4.000000	-3.141593	-3.141593	
1	3.222549	3.222613	-1.782465	-1.782527	
2	2.879401	2.879417	-0.428855	-0.429006	
3	2.921410	2.921271	0.624359	0.624149	
4	3.215600	3.215234	1.145218	1.145026	
5	3.570796	3.570186	1.000000	0.999935	
6	3.772232	3.771430	0.174412	0.174585	
7	3.620192	3.619317	-1.222223	-1.221728	
8	2.967180	2.966403	-2.970458	-2.969609	
9	1.748255	1.747767	-4.770299	-4.769140	
10	-0.000002	-0.000024	-6.283186	-6.281842	


N	Analytical y	RK4 y		Analytical u	RK4 u
0	4.000000	4.000000	-3.141593	-3.141593	
1	3.557641	3.557643	-2.481043	-2.481045	
2	3.222549	3.222552	-1.782465	-1.782470	
3	2.997574	2.997575	-1.085558	-1.085565	
4	2.879401	2.879400	-0.428855	-0.428865	
5	2.858853	2.858847	0.151746	0.151736	
6	2.921410	2.921398	0.624359	0.624347	
7	3.047940	3.047921	0.962319	0.962309	
8	3.215600	3.215574	1.145218	1.145210	
9	3.398889	3.398856	1.159697	1.159693	
10	3.570796	3.570756	1.000000	1.000002	
11	3.704026	3.703980	0.668243	0.668253	
12	3.772232	3.772182	0.174411	0.174430	
13	3.751239	3.751188	-0.463936	-0.463906	
14	3.620191	3.620141	-1.222225	-1.222185	
15	3.362587	3.362540	-2.069698	-2.069646	
16	2.967179	2.967139	-2.970460	-2.970399	
17	2.428677	2.428647	-3.884741	-3.884670	
18	1.748253	1.748235	-4.770301	-4.770223	
19	0.933808	0.933805	-5.583961	-5.583877	
20	-0.000005	0.000010	-6.283188	-6.283103	


